year,state,district,candidatedem,dem_votes,candidategop,gop_votes,totalvotes,uncontested,dem_share,gop_share,dseat,vote_margin,competition,delegation_size,def_inc,open,vap,turnout,rd_auth
2024,Alabama,1,Tom Holmes,70929,Barry Moore,258619,329548,0,0.215231165,0.784768835,0,0.56953767,0.43046233,7,0,0,574472,0.57365372,4
2024,Alabama,2,Shomari Figures,158041,Caroleene Dobson,131414,289455,0,0.54599506,0.45400494,1,0.091990119,0.908009881,7,0,1,548891,0.527345138,4
2024,Alabama,3,,0.25,Mike Rogers,0.75,1,1,0.25,0.75,0,0.5,0.5,7,0,0,576349,1.73506E-06,4
2024,Alabama,4,,0.25,Robert B. Aderholt,0.75,1,1,0.25,0.75,0,0.5,0.5,7,0,0,557524,1.79364E-06,4
2024,Alabama,5,,0.25,Dale W. Strong,0.75,1,1,0.25,0.75,0,0.5,0.5,7,0,0,591826,1.68969E-06,4
2024,Alabama,6,Elizabeth Anderson,102504,Gary J. Palmer,243741,346245,0,0.296044708,0.703955292,0,0.407910584,0.592089416,7,0,0,559249,0.619124934,4
2024,Alabama,7,Terri A. Sewell,186723,Robin Litaker,106312,293035,0,0.637203747,0.362796253,1,0.274407494,0.725592506,7,0,0,570511,0.513636021,4
2024,Alaska,0,Mary Sattler Peltola,156985,Nick Begich,164861,321846,0,0.487764334,0.512235666,0,0.024471331,0.975528669,1,1,0,559040,0.575711935,0
2024,Arizona,1,Amish Shah,208966,David Schweikert,225538,434504,0,0.48092998,0.51907002,0,0.03814004,0.96185996,9,0,0,662683,0.65567398,2
2024,Arizona,2,Jonathan Nez,184963,Elijah Crane,221413,406376,0,0.455152371,0.544847629,0,0.089695258,0.910304742,9,0,0,665809,0.610349214,2
2024,Arizona,3,Yassamin Ansari,143336,Jeff Zink,53705,197041,0,0.727442512,0.272557488,1,0.454885024,0.545114976,9,0,1,602968,0.326785169,2
2024,Arizona,4,Greg Stanton,176428,Kelly Cooper,152052,328480,0,0.537104238,0.462895762,1,0.074208475,0.925791525,9,0,0,657557,0.499546047,2
2024,Arizona,5,Katrina Schaffner,167680,Andy Biggs,255628,423308,0,0.396118193,0.603881807,0,0.207763614,0.792236386,9,0,0,641105,0.660278737,2
2024,Arizona,6,Kirsten Engel,204774,Juan Ciscomani,215596,420370,0,0.487128006,0.512871994,0,0.025743987,0.974256013,9,0,0,668211,0.629097695,2
2024,Arizona,7,Raúl M. Grijalva,171954,"Daniel Francis Butierez, Sr.",99057,271011,0,0.634490851,0.365509149,1,0.268981702,0.731018298,9,0,0,622442,0.435399603,2
2024,Arizona,8,Gregory Whitten,160344,Abraham “Abe” Hamadeh,208269,368613,0,0.434992797,0.565007203,0,0.130014405,0.869985595,9,0,1,637355,0.578348016,2
2024,Arizona,9,Quacy Smith,132640,Paul A. Gosar,249583,382223,0,0.34702255,0.65297745,0,0.305954901,0.694045099,9,0,0,693135,0.551440917,2
2024,Arkansas,1,Rodney Govens,64113,Eric A. “Rick” Crawford,194711,258824,0,0.247708868,0.752291132,0,0.504582264,0.495417736,4,0,0,580698,0.445711885,6
2024,Arkansas,2,Marcus A. Jones,125777,J. French Hill,180509,306286,0,0.410652136,0.589347864,0,0.178695729,0.821304271,4,0,0,598515,0.511743231,6
2024,Arkansas,3,Caitlin Draper,95652,Steve Womack,192101,287753,0,0.332410088,0.667589912,0,0.335179824,0.664820176,4,0,0,606956,0.474092026,6
2024,Arkansas,4,Risie Howard,73207,Bruce Westerman,197046,270253,0,0.270883209,0.729116791,0,0.458233581,0.541766419,4,0,0,580575,0.465491969,6
2024,California,1,Rose Penelope Yee,110636,Doug LaMalfa,208592,319228,0,0.346573609,0.653426391,0,0.306852782,0.693147218,52,0,0,584775,0.54589885,2
2024,California,2,Jared Huffman,272883,Chris Coulombe,106734,379617,0,0.718837671,0.281162329,1,0.437675341,0.562324659,52,0,0,600886,0.631762098,2
2024,California,3,Jessica Morse,188067,Kevin Kiley,234246,422313,0,0.445326097,0.554673903,0,0.109347806,0.890652194,52,0,0,627875,0.672606809,2
2024,California,4,Mike Thompson,227730,John Munn,114950,342680,0,0.664555854,0.335444146,1,0.329111708,0.670888292,52,0,0,613089,0.558940056,2
2024,California,5,Michael J. “Mike” Barkley,140919,Tom McClintock,227643,368562,0,0.382348153,0.617651847,0,0.235303694,0.764696306,52,0,0,613488,0.600764807,2
2024,California,6,Ami Bera,165408,Christine Bish,121664,287072,0,0.576189945,0.423810055,1,0.152379891,0.847620109,52,0,0,577457,0.497131388,2
2024,California,7,Doris O. Matsui,197429,Tom Silva,98341,295770,0,0.667508537,0.332491463,1,0.335017074,0.664982926,52,0,0,592661,0.499054265,2
2024,California,8,John Garamendi,201962,Rudy Recile,71068,273030,0,0.739706259,0.260293741,1,0.479412519,0.520587481,52,0,0,593831,0.459777277,2
2024,California,9,Josh Harder,130183,Kevin Lincoln,121174,251357,0,0.517920726,0.482079274,1,0.035841453,0.964158547,52,0,0,571848,0.439552119,2
2024,California,10,Mark DeSaulnier,242325,Katherine Piccinini,122219,364544,0,0.664734573,0.335265427,1,0.329469145,0.670530855,52,0,0,581330,0.627086164,2
2024,California,11,Nancy Pelosi,274796,Bruce Lou,64315,339111,0,0.810342336,0.189657664,1,0.620684673,0.379315327,52,0,0,612088,0.554023278,2
2024,California,12,Lateefah Simon,0.75,,0.25,1,1,0.75,0.25,1,0.5,0.5,52,0,1,609799,1.63988E-06,2
2024,California,13,Adam Gray,105554,John S. Duarte,105367,210921,0,0.500443294,0.499556706,1,0.000886588,0.999113412,52,1,0,559815,0.376769111,2
2024,California,14,Eric Swalwell,187263,Vin Kruttiventi,89125,276388,0,0.677536651,0.322463349,1,0.355073303,0.644926697,52,0,0,567280,0.48721619,2
2024,California,15,Kevin Mullin,211648,Anna Cheng Kramer,77896,289544,0,0.730970077,0.269029923,1,0.461940154,0.538059846,52,0,0,585872,0.494210339,2
2024,California,16,Sam Liccardo,0.75,,0.25,1,1,0.75,0.25,1,0.5,0.5,52,0,1,585514,1.7079E-06,2
2024,California,17,Ro Khanna,172462,Anita Chen,82415,254877,0,0.676647952,0.323352048,1,0.353295904,0.646704096,52,0,0,609733,0.418014114,2
2024,California,18,Zoe Lofgren,147674,Peter D. Hernandez,80832,228506,0,0.646258742,0.353741258,1,0.292517483,0.707482517,52,0,0,559362,0.40851184,2
2024,California,19,Jimmy Panetta,252458,Jason Michael Anderson,111862,364320,0,0.692956741,0.307043259,1,0.385913483,0.614086517,52,0,0,592748,0.614628814,2
2024,California,20,,,Vince Fong,1,1,1,0,1,0,1,0,52,0,0,581765,0.322917329,2
2024,California,21,Jim Costa,102798,Michael Maher,92733,195531,0,0.525737607,0.474262393,1,0.051475214,0.948524786,52,0,0,535380,0.365219097,2
2024,California,22,Rudy Salas,78023,David G. Valadao,89484,167507,0,0.465789489,0.534210511,0,0.068421021,0.931578979,52,0,0,542121,0.308984526,2
2024,California,23,Derek Marshall,105563,Jay Obernolte,159286,264849,0,0.398578058,0.601421942,0,0.202843885,0.797156115,52,0,0,576328,0.459545606,2
2024,California,24,Salud O. Carbajal,214724,Thomas Cole,127755,342479,0,0.626969829,0.373030171,1,0.253939658,0.746060342,52,0,0,611221,0.560319426,2
2024,California,25,Raul Ruiz,137837,Ian M. Weeks,107194,245031,0,0.562528823,0.437471177,1,0.125057646,0.874942354,52,0,0,584126,0.419483125,2
2024,California,26,Julia Brownley,187393,Michael Koslow,146913,334306,0,0.560543335,0.439456665,1,0.121086669,0.878913331,52,0,0,575327,0.581071286,2
2024,California,27,George Whitesides,154040,Mike Garcia,146050,300090,0,0.513312673,0.486687327,1,0.026625346,0.973374654,52,1,0,552295,0.543350927,2
2024,California,28,Judy Chu,204489,April A. Verlato,110455,314944,0,0.649286857,0.350713143,1,0.298573715,0.701426285,52,0,0,604014,0.521418378,2
2024,California,29,Luz Maria Rivas,146312,Benito Benny Bernal,63374,209686,0,0.697767138,0.302232862,1,0.395534275,0.604465725,52,0,1,564600,0.371388594,2
2024,California,30,Laura Friedman,213100,Alex Balekian,98559,311659,0,0.683760135,0.316239865,1,0.367520271,0.632479729,52,0,1,638537,0.488082915,2
2024,California,31,Gil Cisneros,148095,Daniel Jose Bocic Martinez,99856,247951,0,0.597275268,0.402724732,1,0.194550536,0.805449464,52,0,1,564524,0.439221362,2
2024,California,32,Brad Sherman,212934,Larry Thompson,108711,321645,0,0.662015576,0.337984424,1,0.324031152,0.675968848,52,0,0,620200,0.518614963,2
2024,California,33,Pete Aguilar,137197,Tom Herman,96078,233275,0,0.588134176,0.411865824,1,0.176268353,0.823731647,52,0,0,556822,0.418939984,2
2024,California,34,Jimmy Gomez,0.75,,0.25,1,1,0.75,0.25,1,0.5,0.5,52,0,0,582665,1.71625E-06,2
2024,California,35,Norma J. Torres,136413,Mike Cargile,97142,233555,0,0.584072274,0.415927726,1,0.168144548,0.831855452,52,0,0,570461,0.409414491,2
2024,California,36,Ted Lieu,246002,Melissa Toomim,111985,357987,0,0.687181378,0.312818622,1,0.374362756,0.625637244,52,0,0,614657,0.582417511,2
2024,California,37,Sydney Kamlager-Dove,0.75,,0.25,1,1,0.75,0.25,1,0.5,0.5,52,0,0,584668,1.71037E-06,2
2024,California,38,Linda T. Sánchez,165110,Eric J. Ching,110818,275928,0,0.598380737,0.401619263,1,0.196761474,0.803238526,52,0,0,570070,0.484024769,2
2024,California,39,Mark Takano,130191,David Serpa,99469,229660,0,0.566885831,0.433114169,1,0.133771662,0.866228338,52,0,0,578090,0.397273781,2
2024,California,40,Joe Kerr,171637,Young Kim,211998,383635,0,0.447396614,0.552603386,0,0.105206772,0.894793228,52,0,0,596722,0.642904066,2
2024,California,41,Will Rollins,171229,Ken Calvert,183216,354445,0,0.483090465,0.516909535,0,0.033819069,0.966180931,52,0,0,633508,0.559495697,2
2024,California,42,Robert Garcia,159153,John Briscoe,74410,233563,0,0.68141358,0.31858642,1,0.36282716,0.63717284,52,0,0,567234,0.411757758,2
2024,California,43,Maxine Waters,160080,Steve Williams,53152,213232,0,0.750731598,0.249268402,1,0.501463195,0.498536805,52,0,0,556355,0.38326608,2
2024,California,44,Nanette Diaz Barragán,164765,Roger Groh,66087,230852,0,0.713725677,0.286274323,1,0.427451354,0.572548646,52,0,0,574259,0.401999795,2
2024,California,45,Derek Tran,158264,Michelle Steel,157611,315875,0,0.501033637,0.498966363,1,0.002067273,0.997932727,52,1,0,581807,0.542920591,2
2024,California,46,J. Luis Correa,134013,David Pan,77279,211292,0,0.634254965,0.365745035,1,0.268509929,0.731490071,52,0,0,588642,0.358948223,2
2024,California,47,Dave Min,181721,Scott Baugh,171554,353275,0,0.51438964,0.48561036,1,0.02877928,0.97122072,52,0,1,604902,0.584020221,2
2024,California,48,Stephen Houlahan,146665,Darrell Issa,213625,360290,0,0.407074856,0.592925144,0,0.185850287,0.814149713,52,0,0,567529,0.634839806,2
2024,California,49,Mike Levin,197397,Matt Gunderson,180950,378347,0,0.521735338,0.478264662,1,0.043470676,0.956529324,52,0,0,597956,0.632733847,2
2024,California,50,Scott H. Peters,231836,Peter J. Bono,128859,360695,0,0.642748028,0.357251972,1,0.285496056,0.714503944,52,0,0,648383,0.556299286,2
2024,California,51,Sara Jacobs,198835,Bill Wells,128749,327584,0,0.606974089,0.393025911,1,0.213948178,0.786051822,52,0,0,598487,0.547353577,2
2024,California,52,Juan Vargas,172217,Justin Lee,87501,259718,0,0.663092277,0.336907723,1,0.326184554,0.673815446,52,0,0,564758,0.459874849,2
2024,Colorado,1,Diana DeGette,264606,Valdamar Archuleta,74598,339204,0,0.780079244,0.219920756,1,0.560158489,0.439841511,8,0,0,595004,0.570086924,2
2024,Colorado,2,Joe Neguse,284994,Marshall Dawson,120633,405627,0,0.702601158,0.297398842,1,0.405202316,0.594797684,8,0,0,597137,0.679286328,2
2024,Colorado,3,Adam Frisch,182147,Jeff Hurd,201951,384098,0,0.474220121,0.525779879,0,0.051559758,0.948440242,8,0,1,586730,0.654641828,2
2024,Colorado,4,Trisha Calvarese,188249,Lauren Boebert,240213,428462,0,0.43935985,0.56064015,0,0.1212803,0.8787197,8,0,0,593569,0.721840258,2
