district,type
AL-01,Rural-suburban mix
AL-02,Pure rural
AL-03,Pure rural
AL-04,Pure rural
AL-05,Rural-suburban mix
AL-06,Rural-suburban mix
AL-07,Rural-suburban mix
AK-AL,Pure rural
AZ-01,Dense suburban
AZ-02,Pure rural
AZ-03,Urban-suburban mix
AZ-04,Urban-suburban mix
AZ-05,Dense suburban
AZ-06,Sparse suburban
AZ-07,Dense suburban
AZ-08,Dense suburban
AZ-09,Sparse suburban
AR-01,Pure rural
AR-02,Rural-suburban mix
AR-03,Rural-suburban mix
AR-04,Pure rural
CA-01,Rural-suburban mix
CA-02,Rural-suburban mix
CA-03,Rural-suburban mix
CA-04,Dense suburban
CA-05,Rural-suburban mix
CA-06,Urban-suburban mix
CA-07,Urban-suburban mix
CA-08,Urban-suburban mix
CA-09,Dense suburban
CA-10,Dense suburban
CA-11,Pure urban
CA-12,Pure urban
CA-13,Sparse suburban
CA-14,Urban-suburban mix
CA-15,Urban-suburban mix
CA-16,Urban-suburban mix
CA-17,Pure urban
CA-18,Urban-suburban mix
CA-19,Dense suburban
CA-20,Dense suburban
CA-21,Dense suburban
CA-22,Dense suburban
CA-23,Rural-suburban mix
CA-24,Dense suburban
CA-25,Sparse suburban
CA-26,Dense suburban
CA-27,Dense suburban
CA-28,Urban-suburban mix
CA-29,Pure urban
CA-30,Pure urban
CA-31,Urban-suburban mix
CA-32,Urban-suburban mix
CA-33,Dense suburban
CA-34,Pure urban
CA-35,Urban-suburban mix
CA-36,Pure urban
CA-37,Pure urban
CA-38,Urban-suburban mix
CA-39,Dense suburban
CA-40,Dense suburban
CA-41,Sparse suburban
CA-42,Pure urban
CA-43,Pure urban
CA-44,Pure urban
CA-45,Urban-suburban mix
CA-46,Pure urban
CA-47,Urban-suburban mix
CA-48,Sparse suburban
CA-49,Dense suburban
CA-50,Urban-suburban mix
CA-51,Urban-suburban mix
CA-52,Urban-suburban mix
CO-01,Urban-suburban mix
CO-02,Rural-suburban mix
CO-03,Pure rural
CO-04,Rural-suburban mix
CO-05,Dense suburban
CO-06,Dense suburban
CO-07,Dense suburban
CO-08,Dense suburban
CT-01,Sparse suburban
CT-02,Rural-suburban mix
CT-03,Sparse suburban
CT-04,Sparse suburban
CT-05,Sparse suburban
DE-AL,Sparse suburban
FL-01,Rural-suburban mix
FL-02,Pure rural
FL-03,Pure rural
FL-04,Sparse suburban
FL-05,Sparse suburban
FL-06,Rural-suburban mix
FL-07,Sparse suburban
FL-08,Sparse suburban
FL-09,Sparse suburban
FL-10,Dense suburban
FL-11,Rural-suburban mix
