Region, Subregion,State
Northeast,New England, Connecticut
Northeast,New England, Maine
Northeast,New England, Massachusetts
Northeast,New England, New Hampshire
Northeast,New England, Rhode Island
Northeast,New England, Vermont
Northeast,Mid-Atlantic, New Jersey
Northeast,Mid-Atlantic,New York
Northeast,Mid-Atlantic,Pennsylvania
Midwest,East North Central, Illinois
Midwest,East North Central, Indiana
Midwest,East North Central, Michigan
Midwest,East North Central, Ohio
Midwest,East North Central, Wisconsin
Midwest,West North Central, Iowa
Midwest,West North Central, Kansas
Midwest,West North Central, Minnesota
Midwest,West North Central, Missouri
Midwest,West North Central, Nebraska
Midwest,West North Central, North Dakota
Midwest,West North Central, South Dakota
South,South Atlantic, Delaware
South,South Atlantic, District of Columbia
South,South Atlantic, Florida
South,South Atlantic, Georgia
South,South Atlantic, Maryland
South,South Atlantic, North Carolina
South,South Atlantic, South Carolina
South,South Atlantic, Virginia
South,South Atlantic, West Virginia
South,East South Central, Alabama
South,East South Central, Kentucky
South,East South Central, Mississippi
South,East South Central, Tennessee
South, South Central, Arkansas
South, South Central, Louisiana
South, South Central, Oklahoma
South, South Central, Texas
West,Mountain, Arizona
West,Mountain, Colorado
West,Mountain, Idaho
West,Mountain, Montana
West,Mountain, Nevada
West,Mountain, New Mexico
West,Mountain, Utah
West,Mountain, Wyoming
West,Pacific, Alaska
West,Pacific, California
West,Pacific, Hawaii
West,Pacific, Oregon
West,Pacific, Washington
